NAME	left	right	DNA strand where the operon is coded	Evidence that support the existence of the operon's Tus
istR-1	3851141	3851215	reverse	[LTED|S|Length of transcript experimentally determined]
istR-2	3851141	3851280	reverse	[LTED|S|Length of transcript experimentally determined]
ivbL-ilvBN-uhpABC	3845328	3851011	reverse	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified]
ivy	240343	240816	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
katE	1811891	1814152	forward	[BTEI|W|Boundaries of transcription experimentally identified]
katG	4131858	4134038	forward	
kbaZ-agaVWA	3276936	3279647	forward	[ITCR|W|Inferred through co-regulation]
kbl-tdh	3788343	3790574	reverse	
kch	1307040	1308293	reverse	[ICWHO|W|Inferred computationally without human oversight]
kdgK	3677442	3678371	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
kdgR	1907332	1908123	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
kdgT	4099713	4100696	forward	[ICWHO|W|Inferred computationally without human oversight]
kdpDE	720279	723637	reverse	[IC|W|Inferred by curator]
kdpFABC	723630	728044	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]
kduD	2980519	2981280	reverse	[ICWHO|W|Inferred computationally without human oversight]
kduI	2981310	2982146	reverse	[ICWHO|W|Inferred computationally without human oversight]
kefFC	47246	49631	forward	[ICWHO|W|Inferred computationally without human oversight]
kefGB-yheV	3476614	3479183	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
kgtP	2722470	2723768	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
kilR-ydaE	1415862	1416253	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
kptA	4558953	4559507	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
kup	3929339	3931207	forward	[ICWHO|W|Inferred computationally without human oversight]
lacZYA	360473	365529	reverse	"[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[BTEI|W|Boundaries of transcription experimentally identified]"
lafU	250072	250827	forward	[ICWHO|W|Inferred computationally without human oversight]
ldcA	1241389	1242303	reverse	[ICWHO|W|Inferred computationally without human oversight]
ldcC	209679	211820	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
ldhA	1439878	1440867	reverse	
ldrA	1268391	1268498	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ldrB	1268926	1269033	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ldrC	1269461	1269568	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ldrD	3698003	3698110	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
lepAB	2702357	2705146	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
leuE	1878145	1878783	reverse	[ICWHO|W|Inferred computationally without human oversight]
leuLABCD	78848	83708	reverse	"[IC|W|Inferred by curator]; [BTEI|W|Boundaries of transcription experimentally identified]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
leuO	84368	85312	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined]"
leuQPV	4604102	4604424	reverse	"[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]"
leuS-lptE-holA-nadD-cobC	668519	674006	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
leuX	4494428	4494512	forward	[BTEI|W|Boundaries of transcription experimentally identified]
lexA-dinF	4255138	4257144	forward	[PM|S|Polar mutation]
lfhA	248358	250070	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
lgt-thyA	2962383	2964059	reverse	[IC|W|Inferred by curator]
ligA-ypeB	2525963	2528198	reverse	[ICWHO|W|Inferred computationally without human oversight]
ligB	3817511	3819193	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
ligT	161501	162031	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
lipA	658474	659439	reverse	[ICWHO|W|Inferred computationally without human oversight]
lit	1197918	1198811	forward	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
livJ	3596578	3597681	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
livKHMGF	3590747	3595583	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
lldPRD	3775422	3779040	forward	[ITCR|W|Inferred through co-regulation]
loiP	3079935	3080693	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
lolA-rarA	936592	938560	forward	[ICWHO|W|Inferred computationally without human oversight]
lolB-ispE-prs	1260151	1262723	reverse	[IEP|W|Inferred from expression pattern]
lolCDE	1174650	1177787	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
lomR_2-stfR-tfaR	1426838	1431010	forward	[ICWHO|W|Inferred computationally without human oversight]
lpcA	243543	244121	forward	[ICWHO|W|Inferred computationally without human oversight]
lpoA	3291422	3293458	forward	[IHBCE|W|Inferred by a human based on computational evidence]
lpp	1755445	1755681	forward	[BTEI|W|Boundaries of transcription experimentally identified]
lptD-surA-pdxA-rsmA-apaGH	50380	57109	reverse	"[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
lptFG	4484241	4486423	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
lpxL	1114885	1115805	reverse	[LTED|S|Length of transcript experimentally determined]
lpxM	1937246	1938217	reverse	[ICWHO|W|Inferred computationally without human oversight]
lpxP	2493667	2494587	forward	
lrhA	2403725	2404663	reverse	
lrp	931818	932312	forward	
lsrACDBFG-tam	1599514	1606128	forward	"[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[IHBCE|W|Inferred by a human based on computational evidence]; [BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight],[IEP|W|Inferred from expression pattern]"
lsrRK	1596641	1599265	reverse	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight],[IEP|W|Inferred from expression pattern]"
luxS	2812240	2812755	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
lysA	2975659	2976921	reverse	
lysC	4229907	4231256	reverse	[ICWHO|W|Inferred computationally without human oversight]
lysP	2245085	2246554	reverse	[ICWHO|W|Inferred computationally without human oversight]
lysQ	780800	780875	forward	[ICWHO|W|Inferred computationally without human oversight]
lysR	2977043	2977978	forward	
lysT-valT-lysW	779777	780141	forward	[BTEI|W|Boundaries of transcription experimentally identified]
lysU	4351223	4352740	reverse	
lysZ	780592	780667	forward	[ICWHO|W|Inferred computationally without human oversight]
maa	478591	479142	reverse	[ICWHO|W|Inferred computationally without human oversight]
macAB	918458	921516	forward	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation]
maeA	1551996	1553693	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
maeB	2574120	2576399	reverse	[ICWHO|W|Inferred computationally without human oversight]
mak	409368	410276	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
malEFG	4240649	4244442	reverse	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]
malI	1696176	1697204	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
malK-lamB-malM	4244807	4248497	forward	
malPQ	3546008	3550495	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
malS	3735520	3737550	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
malT	3551107	3553812	forward	[BTEI|W|Boundaries of transcription experimentally identified]
malXY	1697379	1700153	forward	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
malZ	421742	423556	forward	[BTEI|W|Boundaries of transcription experimentally identified]
manA	1686600	1687775	forward	[LTED|S|Length of transcript experimentally determined],[IHBCE|W|Inferred by a human based on computational evidence]
manXYZ	1900072	1902770	forward	
map-glnD-dapD	185123	189506	reverse	"[LTED|S|Length of transcript experimentally determined]; [ICWHO|W|Inferred computationally without human oversight]"
marC	1616267	1616932	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
marRAB	1617144	1618231	forward	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[BTEI|W|Boundaries of transcription experimentally identified],[IEP|W|Inferred from expression pattern]
matP	1017708	1018160	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mcaS	1403683	1403775	reverse	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mcbA	841019	841279	reverse	[ICWHO|W|Inferred computationally without human oversight]
mcbR	1518286	1518951	forward	[ICWHO|W|Inferred computationally without human oversight]
mcrA	1209569	1210402	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mcrBC	4574935	4577360	reverse	"[IC|W|Inferred by curator]; [PM|S|Polar mutation]"
mdaB	3170552	3171133	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
mdfA	882896	884128	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
mdh	3381352	3382290	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mdlAB	468095	471641	forward	[ICWHO|W|Inferred computationally without human oversight]
mdtABCD-baeSR	2152040	2163022	forward	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]
mdtG	1113487	1114713	reverse	[ICWHO|W|Inferred computationally without human oversight]
mdtH	1123341	1124549	reverse	[ICWHO|W|Inferred computationally without human oversight]
mdtJI	1670844	1671525	reverse	[ICWHO|W|Inferred computationally without human oversight]
mdtK	1741481	1742854	forward	"[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]; [IC|W|Inferred by curator]"
mdtL	3889638	3890813	forward	[ICWHO|W|Inferred computationally without human oversight]
mdtM-yjiN	4563989	4566542	reverse	[ICWHO|W|Inferred computationally without human oversight]
mdtNOP	4297587	4302132	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
mdtQ	2225345	2226433	reverse	[ICWHO|W|Inferred computationally without human oversight]
melAB	4339934	4342813	forward	[BTEI|W|Boundaries of transcription experimentally identified]
melR	4338743	4339651	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
menA-rraA	4116868	4118372	reverse	"[LTED|S|Length of transcript experimentally determined]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
menFDHBCE	2371670	2378665	reverse	
mepH	1732459	1733274	forward	[ICWHO|W|Inferred computationally without human oversight]
mepM	1938337	1939659	reverse	"[IC|W|Inferred by curator]; [IHBCE|W|Inferred by a human based on computational evidence]"
mepS	2268001	2268567	forward	[ICWHO|W|Inferred computationally without human oversight]
metA	4212303	4213232	forward	[LTED|S|Length of transcript experimentally determined]
metBL	4126695	4130290	forward	[PM|S|Polar mutation]
metC	3150258	3151445	forward	
metE	4011076	4013337	forward	
metF	4130639	4131529	forward	
metG	2192322	2194355	forward	[ICWHO|W|Inferred computationally without human oversight]
metH	4221851	4225534	forward	[LTED|S|Length of transcript experimentally determined]
metJ	4126101	4126418	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
metK	3084728	3085882	forward	[ICWHO|W|Inferred computationally without human oversight]
metNIQ	220113	222645	reverse	[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]
metR	4009886	4010839	reverse	
metT-leuW-glnUW-metU-glnVX	695653	696356	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	3307055	3316311	reverse	"[LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]; [BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]"
metZWV	2945409	2945705	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
mfd	1169741	1173187	reverse	[ICWHO|W|Inferred computationally without human oversight]
mglBAC	2234765	2238370	reverse	"[IC|W|Inferred by curator]; [ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]"
mgrB	1906647	1906790	reverse	[ICWHO|W|Inferred computationally without human oversight]
mgrR	1620841	1620938	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
mgsA	1025780	1026238	reverse	[ICWHO|W|Inferred computationally without human oversight]
mgtLA	4465454	4468344	forward	
mhpABCDFE	367835	374105	forward	[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]
mhpR-lacI	365652	367644	reverse	[ICWHO|W|Inferred computationally without human oversight]
mhpT	374683	375894	forward	[ICWHO|W|Inferred computationally without human oversight]
miaB	692754	694178	reverse	[ICWHO|W|Inferred computationally without human oversight]
micA	2812824	2812895	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
micC	1435145	1435253	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
micF	2311106	2311198	forward	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
micM	506428	506511	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
minCDE	1223502	1225303	reverse	[IC|W|Inferred by curator]
mipA	1863750	1864496	reverse	[ICWHO|W|Inferred computationally without human oversight]
mlaA	2462274	2463029	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mlaFEDCB	3334985	3338087	reverse	[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight]
mlc-ynfK	1664548	1666588	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]; [ITCR|W|Inferred through co-regulation],[ICWHO|W|Inferred computationally without human oversight]"
mliC	1716090	1716419	reverse	[ICWHO|W|Inferred computationally without human oversight]
mlrA	2212888	2213619	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mltA	2944103	2945200	reverse	[ICWHO|W|Inferred computationally without human oversight]
mltB	2822513	2823598	reverse	[ICWHO|W|Inferred computationally without human oversight]
mltD	232597	233955	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mltF	2693823	2695379	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mmuPM	274549	276871	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mnaT-ydcZ	1515906	1516870	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mngAB	765207	769834	forward	[BTEI|W|Boundaries of transcription experimentally identified]
mngR	764376	765098	reverse	
mnmA	1191890	1192996	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
mnmC	2439786	2441792	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mnmE	3884851	3886215	forward	[ICWHO|W|Inferred computationally without human oversight]
mntH	2509490	2510728	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mntP	1903712	1904278	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
mntR-ybiR	852406	853988	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
moaABCDE	816267	818970	forward	
mobAB	4038929	4040022	reverse	[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]
mocA	3013182	3013760	forward	[ICWHO|W|Inferred computationally without human oversight]
modABC	794312	796835	forward	
modEF	791539	793867	reverse	[ICWHO|W|Inferred computationally without human oversight]
moeAB	863603	865587	reverse	
mog	9306	9893	forward	[ICWHO|W|Inferred computationally without human oversight]
mokB	1489986	1490153	reverse	[ICWHO|W|Inferred computationally without human oversight]
mokC-hokC	16751	16960	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
molR_1	2194496	2195320	forward	[LTED|S|Length of transcript experimentally determined]
molR_2	2195432	2197369	forward	[ICWHO|W|Inferred computationally without human oversight]
molR_3-yehI	2197344	2201933	forward	[ICWHO|W|Inferred computationally without human oversight]
motAB-cheAW	1970860	1975163	reverse	[IC|W|Inferred by curator]
mpl	4453808	4455181	forward	
mppA	1391251	1392864	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
mprA-emrAB	2808792	2812176	forward	[PM|S|Polar mutation]
mqo	2303130	2304776	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mqsRA	3165873	3166566	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined]; [LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]"
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	89634	107474	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process]; [IEP|W|Inferred from expression pattern]; [ICWHO|W|Inferred computationally without human oversight]; [ITCR|W|Inferred through co-regulation]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[PM|S|Polar mutation]"
mrcA	3520893	3523445	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mrcB	164730	167264	forward	[ICWHO|W|Inferred computationally without human oversight]
mreBCD	3396409	3399109	reverse	"[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]; [PAGTSBP|W|Products of adjacent genes in the same biological process]; [IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
mrp	2191081	2192190	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mrr	4584972	4585886	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
mscK	485760	489122	forward	[ICWHO|W|Inferred computationally without human oversight]
mscL	3436046	3436456	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
mscS	3066969	3067829	reverse	[ICWHO|W|Inferred computationally without human oversight]
msrA	4439561	4440199	reverse	[LTED|S|Length of transcript experimentally determined]
msrB	1860040	1860453	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
msrC	1913655	1914206	reverse	[ICWHO|W|Inferred computationally without human oversight]
msyB	1113030	1113404	reverse	
mtfA	2041675	2042472	forward	[ICWHO|W|Inferred computationally without human oversight]
mtlADR	3770304	3774182	forward	[LTED|S|Length of transcript experimentally determined]
mtn-btuF-yadS	177001	179153	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
mtr	3302595	3303839	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
mug	3212989	3213495	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
murB-birA	4170080	4172070	forward	[ICWHO|W|Inferred computationally without human oversight]
murJ	1127062	1128597	forward	[ICWHO|W|Inferred computationally without human oversight]
murQP-yfeW	2543795	2547428	forward	"[ITCR|W|Inferred through co-regulation],[ICWHO|W|Inferred computationally without human oversight]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
murR	2542774	2543631	reverse	[ICWHO|W|Inferred computationally without human oversight]
mutH	2967684	2968373	forward	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
mutS	2855115	2857676	forward	[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
mutY-yggX-mltC-nupG	3101035	3104992	forward	"[BTEI|W|Boundaries of transcription experimentally identified]; [LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]"
nac	2059040	2059957	reverse	[LTED|S|Length of transcript experimentally determined]
nadA-pnuC	781308	783108	forward	[ICWHO|W|Inferred computationally without human oversight]
nadB	2708442	2710064	forward	
nadC	117752	118645	reverse	[ICWHO|W|Inferred computationally without human oversight]
nadE	1820482	1821309	forward	[LTED|S|Length of transcript experimentally determined],[ICWHO|W|Inferred computationally without human oversight]
nadK	2748853	2749731	forward	[ICWHO|W|Inferred computationally without human oversight]
nagBAC-umpH	698797	702834	reverse	[LTED|S|Length of transcript experimentally determined],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]
nagE	703167	705113	forward	[BTEI|W|Boundaries of transcription experimentally identified],[PM|S|Polar mutation]
nagK-cobB	1177816	1179582	forward	[ICWHO|W|Inferred computationally without human oversight],[IEP|W|Inferred from expression pattern]
nanATEK-yhcH	3367036	3371598	reverse	"[IC|W|Inferred by curator]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[CV(LTED/PM)|C|cross validation(LTED/PM)],[PM|S|Polar mutation]"
nanCMS	4534637	4537524	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[ITCR|W|Inferred through co-regulation]; [IHBCE|W|Inferred by a human based on computational evidence]"
nanR	3371720	3372511	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
napFDAGHBC-ccmABCDEFGH	2289380	2301519	reverse	[IC|W|Inferred by curator]
narGHJI	1279087	1285749	forward	
narK	1277180	1278571	forward	
narP	2288522	2289169	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
narQ	2583753	2585453	forward	[ICWHO|W|Inferred computationally without human oversight]
narU	1540696	1542084	reverse	[ICWHO|W|Inferred computationally without human oversight]
narXL	1274402	1276841	reverse	
narZYWV	1533961	1540614	reverse	
ndh	1165308	1166612	forward	
ndk	2642455	2642886	reverse	[ICWHO|W|Inferred computationally without human oversight]
nemRA-gloA	1724047	1726268	forward	"[IHBCE|W|Inferred by a human based on computational evidence]; [LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation]"
nepI	3838572	3839762	reverse	[BTEI|W|Boundaries of transcription experimentally identified],[ICWHO|W|Inferred computationally without human oversight]
nfo	2248862	2249719	forward	
nfrBA	587205	592401	reverse	
nfsB	603994	604647	reverse	[ICWHO|W|Inferred computationally without human oversight]
nhaAR	17489	19620	forward	"[IHBCE|W|Inferred by a human based on computational evidence]; [LTED|S|Length of transcript experimentally determined],[PAGTSBP|W|Products of adjacent genes in the same biological process]"
nhaB	1232399	1233940	reverse	[ICWHO|W|Inferred computationally without human oversight]
nhoA	1532048	1532893	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
nikABCDER	3611690	3617012	forward	"[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern],[PM|S|Polar mutation]; [ITCR|W|Inferred through co-regulation],[PM|S|Polar mutation]"
nirBDC-cysG	3492033	3497223	forward	"[LTED|S|Length of transcript experimentally determined]; [BTEI|W|Boundaries of transcription experimentally identified]"
nlpA	3837198	3838016	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
nlpC	1790291	1790755	reverse	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
nlpD-rpoS	2864581	2866775	reverse	"[IC|W|Inferred by curator]; [PM|S|Polar mutation]"
nlpI	3306062	3306946	reverse	[ICWHO|W|Inferred computationally without human oversight]
nmpC	574981	576048	reverse	[LTED|S|Length of transcript experimentally determined]
nohA-ydfN-tfaQ	1632334	1634391	reverse	"[ICWHO|W|Inferred computationally without human oversight]; [IC|W|Inferred by curator]"
nohB	580057	580602	forward	[ICWHO|W|Inferred computationally without human oversight]
norR	2828797	2830311	reverse	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
norVW	2830498	2833067	forward	[LTED|S|Length of transcript experimentally determined],[ITCR|W|Inferred through co-regulation],[IEP|W|Inferred from expression pattern]
nrdAB-yfaE	2342887	2346790	forward	"[IHBCE|W|Inferred by a human based on computational evidence]; [IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process]"
nrdDG	4457923	4460683	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [ITCR|W|Inferred through co-regulation]"
nrdHIEF	2798745	2802483	forward	[LTED|S|Length of transcript experimentally determined]
nrdR-ribDE-nusB-thiL-pgpA	432226	436331	forward	"[PAGTSBP|W|Products of adjacent genes in the same biological process],[ICWHO|W|Inferred computationally without human oversight],[PM|S|Polar mutation]; [ITCR|W|Inferred through co-regulation]"
nrfABCDEFG	4285787	4292162	forward	
nsrR-rnr-rlmB-yjfIJ	4404213	4409274	forward	"[ICWHO|W|Inferred computationally without human oversight]; [LTED|S|Length of transcript experimentally determined]"
nudB-yebC-ruvC	1944879	1946656	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
nudC-hemE-nfi	4194926	4197484	forward	"[IC|W|Inferred by curator]; [ICWHO|W|Inferred computationally without human oversight]"
nudE	3523611	3524171	reverse	"[IC|W|Inferred by curator]; [AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]"
nudF-yqiB-cpdA-yqiA-parE	3171526	3175932	reverse	[ICWHO|W|Inferred computationally without human oversight]
nudG	1839514	1839921	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
nudI	2362576	2363001	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
nudK	2580925	2581500	reverse	[ICWHO|W|Inferred computationally without human oversight]
nuoABCEFGHIJKLMN	2388070	2403094	reverse	"[BTEI|W|Boundaries of transcription experimentally identified]; [IC|W|Inferred by curator]; [PAGTSBP|W|Products of adjacent genes in the same biological process],[BTEI|W|Boundaries of transcription experimentally identified]"
nupC	2511064	2512266	forward	
nupX	2250917	2252167	reverse	[ICWHO|W|Inferred computationally without human oversight]
ogrK	2165326	2165544	reverse	[IHBCE|W|Inferred by a human based on computational evidence]
ohsC	2698542	2698618	forward	[LTED|S|Length of transcript experimentally determined]
ompA	1018236	1019276	reverse	[LTED|S|Length of transcript experimentally determined],[BTEI|W|Boundaries of transcription experimentally identified]
ompC	2309668	2310771	reverse	[LTED|S|Length of transcript experimentally determined]
ompF	985117	986205	reverse	
ompG	1379971	1380876	forward	[ICWHO|W|Inferred computationally without human oversight]
ompL	4061626	4062318	reverse	[ICWHO|W|Inferred computationally without human oversight]
ompR-envZ	3532538	3534606	reverse	[BTEI|W|Boundaries of transcription experimentally identified]
ompW	1312044	1312682	forward	[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit]
ompX	849673	850188	forward	[LTED|S|Length of transcript experimentally determined],[AISGDTU|W|Automated inference that a single-gene directon is a transcription unit],[BTEI|W|Boundaries of transcription experimentally identified]
