Product Type	NAME	Gene
-	predicted cytochrome b561	yceJ
-	small protein involved in biofilm formation and acid stress response	yceO
-	<I>N</I>-methyltryptophan oxidase	solA
-	regulator of biofilm formation	bssS
-	DNA damage-inducible protein I	dinI
-	PyrC	pyrC
-	predicted lipoprotein	yceB
-	reduced glutaredoxin 2	grxB
-	YceL MFS transporter	mdtH
-	ribosomal-protein-S5-alanine N-acetyltransferase	rimJ
-	conserved protein	yceH
-	predicted oxidoreductase, NAD(P)-binding Rossmann-fold domain	yceM
-	lipid II flippase	murJ
-	flagellar biosynthesis protein FlgN	flgN
-	anti-sigma factor for FliA (sigma 28)	flgM
-	"flagellar biosynthesis; assembly of basal-body periplasmic P ring"	flgA
-	flagellar basal-body rod protein FlgB	flgB
-	flagellar basal-body rod protein FlgC	flgC
-	flagellar biosynthesis, initiation of hook assembly	flgD
-	flagellar hook protein FlgE	flgE
-	flagellar basal-body rod protein FlgF	flgF
-	flagellar basal-body rod protein FlgG	flgG
-	"flagellar L-ring protein FlgH; basal-body outer-membrane L (lipopolysaccharide layer) ring protein"	flgH
-	flagellar P-ring protein FlgI	flgI
-	FlgJ	flgJ
-	flagellar biosynthesis, hook-filament junction protein 1	flgK
-	"flagellar biosynthesis; hook-filament junction protein"	flgL
-	RNase E	rne
-	predicted protein	yceQ
-	23S rRNA pseudouridine synthase	rluC
-	m<sup>7</sup>GTP pyrophosphatase	yceF
small RNA	SraB	sraB
-	conserved protein	yceD
-	50S ribosomal subunit protein L32	rpmF
-	fatty acid/phospholipid synthesis protein	plsX
-		fabH
-	malonyl-CoA-ACP transacylase	fabD
-	3-oxoacyl-[acyl-carrier-protein] reductase subunit	fabG
-	apo-[acyl carrier protein]	acpP
-	FabF	fabF
-	pabC	pabC
-	protein involved in cytokinesis	yceG
-	dTMP kinase	tmk
-	"DNA polymerase III, &delta; prime subunit"	holB
-	predicted metallodependent hydrolase	ycfH
-	glucose PTS permease - PtsG subunit	ptsG
-	ferric coprogen outer membrane porin FhuE	fhuE
-	purine nucleoside phosphoramidase monomer	hinT
-	predicted protein	ycfL
-	outer membrane lipoprotein - activator of PBP1B activity	lpoB
-	thiamin kinase	thiK
-	"&beta;-N-acetylhexosaminidase"	nagZ
-	conserved protein	ycfP
-	NADH:ubiquinone oxidoreductase II	ndh
-	predicted protein	ycfJ
-	ComR DNA-binding transcriptional repressor	comR
-	outer membrane protein involved in copper permeability, stress resistance and biofilm formation	bhsA
-	L,D-transpeptidase YcfS	ycfS
-	transcription-repair coupling factor	mfd
-	putative transport protein	ycfT
-	LolC	lolC
-	LolD	lolD
-	LolE	lolE
-	<i>N</i>-acetyl-D-glucosamine kinase	nagK
-	protein-lysine deacetylase and desuccinylase	cobB
-	predicted inner membrane protein	ycfZ
-	predicted inner membrane protein	ymfA
-	putrescine / spermidine ABC transporter - periplasmic binding protein	potD
-	putrescine / spermidine ABC transporter - membrane subunit	potC
-	putrescine / spermidine ABC transporter - membrane subunit	potB
-	putrescine / spermidine ABC transporter - ATP binding subunit	potA
-	PepT	pepT
-	conserved protein	ycfD
-	PhoQ sensory histidine kinase	phoQ
-	PhoP	phoP
-	adenylosuccinate lyase	purB
-	lysogenization regulator	hflD
-	tRNA-specific 2-thiouridylase	mnmA
-	HMP-PP hydrolase /thiamin pyrophosphate hydrolase/HMP-PP hydrolase/thiamin pyrophosphate hydrolase	nudJ
-	23S rRNA pseudouridine 2457 synthase	rluE
-	Icd	icd
small RNA	C0293	C0293
-	"e14 prophage; predicted SAM-dependent methyltransferase"	ymfD
-	"e14 prophage; predicted inner membrane protein"	ymfE
-	"Lit, cell death peptidase; phage exclusion; e14 prophage"	lit
-	"e14 prophage; predicted integrase"	intE
-	"e14 prophage; predicted excisionase"	xisE
-	"e14 prophage; predicted protein"	ymfH
-	"e14 prophage; predicted protein"	ymfI
-	"e14 prophage; predicted protein"	ymfJ
-	"e14 prophage; predicted repressor protein"	ymfK
-	"e14 prophage; predicted DNA-binding transcriptional regulator"	ymfT
-	"e14 prophage; predicted DNA-binding transcriptional regulator"	ymfL
-	"e14 prophage; predicted protein"	ymfM
-	"e14 prophage; predicted DNA-binding transcriptional regulator"	ymfN
-	"e14 prophage; predicted protein"	ymfR
-	"e14 prophage; conserved protein"	ymfO
-	"e14 prophage; conserved protein"	ymfP
-	"e14 prophage; conserved protein"	ymfQ
-	"e14 prophage; predicted protein"	ycfK
-	"e14 prophage; predicted protein"	ymfS
-	"e14 prophage; predicted tail fiber assembly protein"	tfaE
-	"e14 prophage; predicted side tail fiber protein fragment"	stfE
-	"e14 prophage; site-specific DNA recombinase"	pinE
-	restriction of DNA at 5-methylcytosine residues	mcrA
-	conserved protein	icdC
-	"inhibitor of &sigma;<sup>S</sup> proteolysis"	iraM
-	predicted protein	ycgX
-	BluR DNA-binding transcriptional repressor	bluR
-	blue light-responsive regulator of BluR	bluF
-	predicted protein	ycgZ
-	protein involved in biofilm formation	ymgA
-	regulator of acid resistance, influenced by indole	ariR
-	protein involved in biofilm formation	ymgC
-	conserved inner membrane protein	ycgG
-	inner membrane protein that interacts with cell division proteins	ymgF
-	"conserved protein; member of the Autotransporter family"	ycgH_1
-	"conserved protein; member of the Autotransporter family"	ycgH_2
-	predicted protein	ymgD
-	predicted protein	ymgG
-	hypothetical protein	ymgI
-	hypothetical protein	ymgJ
-	predicted protein	ymgH
-	predicted protein	ycgI
-	cell division topological specificity factor and inhibitory component of the MinC-MinD-MinE system that regulates septum placement	minE
-	membrane ATPase of the MinC-MinD-MinE system that regulates septum placement	minD
-	cell division inhibitor of the MinC-MinD-MinE and DicB-MinC systems that regulate septum placement	minC
-	predicted protein	ycgJ
-	inhibitor of g-type lysozyme	pliG
-	conserved protein	ycgL
-	predicted isomerase/hydrolase	ycgM
-	conserved protein	ycgN
-	hemolysin E	hlyE
small RNA	C0299	C0299
-	"SOS mutagenesis; error-prone repair; processed to UmuD'; forms complex with UmuC"	umuD
-	SOS mutagenesis and repair	umuC
-	protein disulfide oxidoreductase - DsbB<sub>reduced</sub>	dsbB
-	sodium:H<sup>+</sup> antiporter	nhaB
-	FadR DNA-binding transcriptional dual regulator	fadR
-	conserved protein	ycgB
-	D-amino acid dehydrogenase	dadA
-		dadX
-	YcgO CPA1 Transporter	cvrA
-	L,D-carboxypeptidase A	ldcA
-	lytic murein transglycosylase E	emtA
-	molecular brake that regulates flagellar motility in response to c-di-GMP	ycgR
-	predicted inner membrane protein	ymgE
-	predicted protein	ycgY
-	periplasmic trehalase	treA
-	dihydroxyacetone kinase subunit M	dhaM
-	dihydroxyacetone kinase subunit L	dhaL
-	dihydroxyacetone kinase subunit K	dhaK
-	DhaR DNA-binding transcriptional dual regulator	dhaR
-	putative adhesion and penetration protein	ycgV
-	ribosome-binding ATPase, inhibitor of catalase activity	ychF
-	peptidyl-tRNA hydrolase	pth
-	stress-induced protein	ychH
-	C4 dicarboxylate / C4 monocarboxylate transporter DauA	dauA
-	ribose-phosphate diphosphokinase	prs
-		ispE
-	outer membrane lipoprotein, localization of lipoproteins in the outer membrane	lolB
-		hemA
-	peptide chain release factor RF1	prfA
-	protein-(glutamine-N5) methyltransferase	prmC
-	predicted transcriptional regulator	ychQ
-	predicted transcriptional regulator	ychA
-	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	kdsA
-	small toxic polypeptide LdrA	ldrA
small RNA	RdlA	rdlA
-	small toxic polypeptide LdrB	ldrB
small RNA	RdlB	rdlB
-	small toxic polypeptide LdrC	ldrC
small RNA	RdlC	rdlC
-	Na<sup>+</sup> / K<sup>+</sup>:H<sup>+</sup> antiporter ChaA/Na<sup>+</sup> / K<sup>+</sup>:H<sup>+</sup> antiporter ChaA	chaA
-	predicted cation transport regulator	chaB
-	predicted cation transport protein	chaC
-	conserved protein	ychN
-	predicted invasin	ychO
-	NarL	narL
-	NarX	narX
-	nitrate:nitrite antiporter NarK	narK
-	"nitrate reductase A, &alpha; subunit"	narG
-	"nitrate reductase A, &beta; subunit"	narH
-	"molybdenum cofactor assembly chaperone subunit (&delta; subunit) of nitrate reductase 1"	narJ
-	"nitrate reductase A, &gamma; subunit"	narI
-	predicted protein	ychS
small RNA	RtT	rttR
-	predicted protamine-like protein	tpr
tRNA	tRNA<SUP>tyrV</SUP>	tyrV
tRNA	tRNA<SUP>tyrT</SUP>	tyrT
-	formyltetrahydrofolate deformylase	purU
-	conserved protein	ychJ
-	conserved protein	rssA
-	regulator of RpoS	rssB
-	UTP--glucose-1-phosphate uridylyltransferase	galU
-	H-NS DNA-binding transcriptional dual regulator	hns
-	thymidine kinase/deoxyuridine kinase	tdk
-	predicted protein	ychG_2
-	predicted protein, N-terminal fragment	ychG_1
-	AdhE	adhE
-	predicted inner membrane protein	ychE
small RNA		
-	peptide ABC transporter - periplasmic binding protein	oppA
-	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	oppB
-	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	oppC
-	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	oppD
-	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	oppF
-	predicted protein	yciU
-	cardiolipin synthase 1	clsA
-	conserved protein	yciY
-	K<sup>+</sup> channel Kch monomer	kch
-	predicted enzyme	yciI
-	TonB energy transducing system - TonB subunit	tonB
-	acyl-CoA thioesterase	yciA
-	predicted inner membrane protein	yciB
-	predicted inner membrane protein	yciC
-	OmpW, outer membrane protein	ompW
-	conserved protein	yciE
-	putative structural protein	yciF
-	predicted protein	yciG
-	"tryptophan synthase, &alpha; subunit"	trpA
-	"tryptophan synthase, &beta; subunit"	trpB
-	indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	trpC
-	anthranilate synthase component II	trpD
-	anthranilate synthase component I	trpE
-	trp operon leader peptide	trpL
-	conserved protein	yciV
-	conserved protein	yciO
-	predicted inner membrane protein	yciQ
-	23S rRNA pseudouridine 2605 synthase	rluB
-	cobinamide adenosyltransferase/cobalamin adenosyltransferase	btuR
-	predicted oxidoreductase	yciK
-	predicted inner membrane peptidase	sohB
-	predicted protein	yciN
-	DNA topoisomerase I	topA
-	CysB	cysB
-	small predicted membrane protein	ymiA
-	predicted protein	yciX
-	aconitate hydratase 1	acnA
-	GTP cyclohydrolase II	ribA
-	undecaprenyl pyrophosphate phosphatase/diacylglycerol pyrophosphate phosphatase/phosphatidylglycerophosphatase	pgpB
-	conserved inner membrane protein	yciS
-	protein that affects lipopolysaccharide levels	yciM
-	PyrF	pyrF
-	translation initiation factor	yciH
-	OsmB osmotically inducible lipoprotein	osmB
-	DNA-binding transcriptional regulator	yciT
-	hypothetical protein	yciZ
-	cyclic di-GMP phosphodiesterase	gmr
-	ribonuclease II	rnb
-	predicted oxidoreductase	yciW
-	enoyl-[acyl-carrier-protein] reductase subunit	fabI
-	conserved protein	ycjD
-	peptide ABC transporter SapABCDF - ATP binding subunit	sapF
-	peptide ABC transporter SapABCDF - ATP binding subunit	sapD
-	peptide ABC transporter SapABCDF - membrane subunit	sapC
-	peptide ABC transporter SapABCDF - membrane subunit	sapB
-	peptide ABC transporter SapABCDF - periplasmic binding protein	sapA
-	predicted protein	ymjA
-	putrescine:H<sup>+</sup> symporter PuuP	puuP
-	glutamate-putrescine ligase	puuA
-	"&gamma;-glutamyl-&gamma;-aminobutyrate hydrolase"	puuD
-	PuuR DNA-binding transcriptional repressor	puuR
-	"&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase"	puuC
-	"&gamma;-glutamylputrescine oxidase"	puuB
-	4-aminobutyrate aminotransferase	puuE
-	PspF transcriptional dual regulator	pspF
-	regulatory protein for the phage shock protein operon	pspA
-	"stimulates PspC-mediated transcriptional activation of the psp operon; antitoxin of a PspC-PspB toxin-antitoxin pair"	pspB
-	"PspC transcriptional regulator; toxin of a PspC-PspB toxin-antitoxin pair"	pspC
-	peripheral inner membrane phage-shock protein	pspD
-	thiosulfate sulfurtransferase	pspE
-	predicted glucosyltransferase	ycjM
-	YcjN	ycjN
-	YcjO	ycjO
-	YcjP	ycjP
-	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	ycjQ
-	predicted enzyme	ycjR
-	predicted oxidoreductase, NADH-binding	ycjS
-	predicted hydrolase	ycjT
-	"&beta;-phosphoglucomutase"	ycjU
-	predicted sugar transporter subunit: ATP-binding component of ABC superfamily	ycjV
-	predicted protein	ymjB
-	outer membrane porin OmpG	ompG
-	predicted DNA-binding transcriptional regulator, LacI type	ycjW
-	conserved protein	ycjX
-	conserved inner membrane protein	ycjF
-	TyrR DNA-binding transcriptional dual regulator	tyrR
-	lipid hydroperoxide peroxidase	tpx
-	L-Ala-D/L-Glu epimerase	ycjG
-	murein tripeptide amidase A	mpaA
-	predicted oxidoreductase	ymjC
-	small protein	ymjD
-	predicted hydrolase	ycjY
-	PgrR DNA-binding transcriptional repressor	pgrR
-	murein tripeptide ABC transporter OppBCDFMppA - periplasmic binding protein	mppA
-	mechanosensitive channel YnaI monomer	ynaI
-	IS5 transposase and trans-activator	insH-4
-	predicted inner membrane protein	ynaJ
-	universal stress protein with a role cellular motility	uspE
-	FNR	fnr
-	O6-alkylguanine-DNA-alkyltransferase	ogt
-	p-aminobenzoyl glutamate:H<sup>+</sup> symporter	abgT
-	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	abgB
-	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A	abgA
-	predicted DNA-binding transcriptional regulator, LYSR-type	abgR
small RNA	IsrA	mcaS
-	conserved protein with endonuclease activity	smrA
-	diguanylate cyclase	ydaM
-	predicted Zn(II) transporter	ydaN
small RNA	FnrS	fnrS
small RNA	C0343	C0343
-	ATP-dependent RNA helicase, specific for 23S rRNA	dbpA
-	predicted C32 tRNA thiolase	ttcA
-	"Rac prophage; predicted integrase"	intR
-	"Rac prophage; conserved protein"	ydaQ
-	protein involved in maintaining chromosome integrity / Rac prophage	rcbA
-	restriction alleviation and modification enhancement	lar
-	recombinase, DNA renaturation	recT
-	exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific	recE
-	"Rac prophage; predicted protein"	racC
-	"Rac prophage; zinc-binding protein"	ydaE
-	"Rac prophage; inhibitor of FtsZ, killing protein"	kilR
-	"Rac prophage; phage superinfection exclusion protein"	sieB
-	"Rac prophage; predicted protein"	ydaF
-		Phantom Gene
-	"Rac prophage; small protein"	ydaG
-	"Rac prophage; predicted DNA-binding transcriptional regulator"	racR
-	"Rac prophage; predicted DNA-binding transcriptional regulator"	ydaS
-	"Rac prophage; predicted protein"	ydaT
-	"Rac prophage; conserved protein"	ydaU
-	"Rac prophage; predicted DNA replication protein"	ydaV
-	"Rac prophage; predicted DNA-binding protein"	ydaW
-	"Rac prophage; predicted defective peptidase"	rzpR
-	"Rac prophage; predicted lipoprotein"	rzoR
-	K<sup>+</sup> transporter TrkG	trkG
-		b1364
-	"Rac prophage; conserved protein"	ynaK
-	"Rac prophage; predicted protein"	ydaY
-		Phantom Gene
-	"Rac prophage; predicted tail protein"	ynaA
-	"Rac prophage; predicted protein, N-ter fragment"	lomR_1
-	"Rac prophage; IS5 transposase and trans-activator"	insH-5
-	"Rac prophage; predicted protein, C-ter fragment"	lomR_2
-	putative membrane protein	stfR
-	"Rac prophage; predicted tail fiber assembly protein"	tfaR
-	"Rac prophage; predicted site-specific recombinase"	pinR
-	"Rac prophage; cold shock protein, function unknown"	ynaE
-	nucleotide binding filament protein	uspF
-	outer membrane pore protein N, non-specific	ompN
small RNA	MicC	micC
-	pyruvate:flavodoxin oxidoreductase	ydbK
-	predicted protein	ydbJ
-	heat shock protein HslJ	hslJ
-	D-lactate dehydrogenase - fermentative	ldhA
-	predicted protein	ydbH
-	predicted lipoprotein	ynbE
-	conserved protein	ydbL
-	FeaR DNA-binding transcriptional activator	feaR
-	FeaB	feaB
-	TynA	tynA
-	oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	paaZ
-	ring 1,2-phenylacetyl-CoA epoxidase, monooxygenase subunit	paaA
-	ring 1,2-phenylacetyl-CoA epoxidase subunit	paaB
-	ring 1,2-phenylacetyl-CoA epoxidase, structural subunit	paaC
-	phenylacetate degradation protein	paaD
-	ring 1,2-phenylacetyl-CoA epoxidase, reductase subunit	paaE
-	predicted 2,3-dehydroadipyl-CoA hydratase	paaF
-	predicted ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)	paaG
-	3-hydroxyadipyl-CoA dehydrogenase (NAD<sup>+</sup>)	paaH
-	hydroxyphenylacetyl-CoA thioesterase	paaI
-	"&beta;-ketoadipyl-CoA thiolase"	paaJ
-	phenylacetate-CoA ligase	paaK
-	PaaX	paaX
-	predicted hexapeptide repeat acetyltransferase	paaY
-	small protein	ynbG
-	predicted outer membrane protein, N-ter fragment	ydbA_1
-	IS2 element transposase InsAB'	insCD-2
-		insD-2
-	IS2 insertion element repressor InsA	insC-2
-	transposase of IS30	insI-2
-	predicted outer membrane protein, C-ter fragment	ydbA_2
-	predicted oxidoreductase, NAD(P)-binding	ydbC
-	protein involved in detoxification of methylglyoxal	ydbD
-	predicted inner membrane protein	ynbA
-	predicted CDP-diglyceride synthase	ynbB
-	predicted hydrolase	ynbC
-	predicted phosphatase, inner membrane protein	ynbD
-	NADH:quinone oxidoreductase, FMN-dependent	azoR
-	ATP-dependent helicase	hrpA
-	conserved protein	ydcF
-	AldA	aldA
-	glyceraldehyde 3-phosphate dehydrogenase C, interrupted	gapC_2
-	split glyceraldehyde 3-phosphate dehydrogenase C	gapC_1
-	cytochrome b561	cybB
small RNA	RydC	rydC
-	hypothetical protein	ydcA
-	small toxic membrane polypeptide	hokB
-	regulatory peptide whose translation enables hokB expression	mokB
small RNA	SokB	sokB
-		trg
-	putative transcriptional regulator LysR-type	ydcI
-	conserved protein	ydcJ
-	glucan biosynthesis protein D	opgD
-		Phantom Gene
-	predicted protein	ydcH
-	ribosomal-protein-L12-serine acetyltransferase	rimL
-	predicted enzyme	ydcK
-	tellurite resistance protein / ethidium efflux transporter	tehA
-	tellurite methyltransferase	tehB
-	predicted lipoprotein	ydcL
-	predicted transposase, N-ter fragment	yncK_1
-	predicted transposase, C-ter fragment	yncK_2
-	predicted transposase	ydcM
-	predicted benzoate transporter	ydcO
-	predicted DNA-binding transcriptional regulator	ydcN
-	predicted peptidase	ydcP
-	predicted protein	yncJ
-		Phantom Gene
-	toxin of the HicA-HicB toxin-antitoxin system	hicA
-	antitoxin of the HicA-HicB toxin-antitoxin system	hicB
-	fused predicted DNA-binding transcriptional regulator and predicted amino transferase	ydcR
-	YdcS	ydcS
-	YdcT	ydcT
-	YdcU	ydcU
-	YdcV	ydcV
-	"&gamma;-aminobutyraldehyde dehydrogenase"	patD
-	small membrane protein	yncL
-	predicted inner membrane protein	ydcX
-	hypothetical protein	ydcY
-	predicted inner membrane protein	ydcZ
-	L-amino acid N-acyltransferase	mnaT
-	NADPH-dependent curcumin/dihydrocurcumin reductase subunit	curA
-	McbR DNA-binding transcriptional dual regulator	mcbR
-	probable TonB-dependent receptor	yncD
-	conserved protein	yncE
-	L-asparagine transporter	ansP
-	predicted enzyme	yncG
-	hypothetical protein	yncH
-	RhsE protein in rhs element	rhsE
-	hypothetical protein	ydcD
-	predicted protein	yncI
-	predicted protein	yncM
-	conserved protein	ydcC
-	probable 4-oxalocrotonate tautomerase (4-OT) monomer	pptA
-	conserved protein	yddH
-	arylamine <i>N</i>-acetyltransferase	nhoA
-	conserved protein	yddE
-	"nitrate reductase Z, &gamma; subunit"	narV
-	NarW, probable private chaperone for NarZ nitrate reductase subunit	narW
-	"nitrate reductase Z, &beta; subunit"	narY
-	"nitrate reductase Z, &alpha; subunit"	narZ
-	nitrate / nitrite transporter NarU	narU
-	hypothetical protein	yddJ
-	predicted protein	yddK
-	predicted lipoprotein	yddL
-	aromatic amino acid exporter	yddG
-	"formate dehydrogenase N, &alpha; subunit"	fdnG
-	"formate dehydrogenase N, &beta; subunit"	fdnH
-	"formate dehydrogenase N, &gamma; subunit"	fdnI
small RNA	C0362	C0362
-	predicted DNA-binding transcriptional regulator	yddM
-	ethanol dehydrogenase / alcohol dehydrogenase	adhP
-	malate dehydrogenase, NAD-requiring	maeA
-	30S ribosomal subunit protein S22	sra
-	biofilm-dependent modulation protein	bdm
-	osmotically inducible peroxidase OsmC	osmC
-	YddO	ddpF
-	YddP	ddpD
-	YddQ	ddpC
-	YddR	ddpB
-	YddS	ddpA
-	D-Ala-D-Ala dipeptidase	ddpX
-	c-di-GMP phosphodiesterase, heme-regulated	dosP
-	diguanylate cyclase	dosC
-	predicted lipoprotein	yddW
-	glutamic acid:4-aminobutyrate antiporter	gadC
-	glutamate decarboxylase B subunit	gadB
-	putative zinc peptidase	pqqL
-	predicted porin protein	yddB
-	fused predicted multidrug transporter subunits of ABC superfamily: membrane component, ATP-binding component	yddA
-	"predicted anaerobic sulfatase maturation enzyme; predicted DNA-binding transcriptional regulator"	ydeM
-	putative sulfatase	ydeN
-	YdeO DNA-binding transcriptional dual regulator	ydeO
-	two-component system connector protein	safA
-	acid resistance protein	ydeP
-	predicted fimbrial-like adhesin protein	ydeQ
-	predicted fimbrial-like adhesin protein	ydeR
-	predicted fimbrial-like adhesin protein	ydeS
-	predicted protein	ydeT
-	predicted transcriptional regulator	yneL
-	serine/threonine kinase HipA	hipA
-	HipB	hipB
-	conserved protein	ydeU
-	predicted lipoprotein	ydeK
-	autoinducer-2 kinase	lsrK
-	LsrR	lsrR
-	AI-2 ABC transporter - ATP binding subunit	lsrA
-	Autoinducer-2 ABC transporter - membrane subunit	lsrC
-	Autoinducer-2 ABC transporter - membrane subunit	lsrD
-	Autoinducer-2 ABC transporter - periplasmic binding protein	lsrB
-	predicted class I aldolase	lsrF
-	Autoinducer 2-degrading protein	lsrG
-	<i>trans</i>-aconitate 2-methyltransferase	tam
-	conserved inner membrane protein	yneE
-	altronate oxidoreductase	uxaB
-	predicted diguanylate cyclase	yneF
-	conserved protein	yneG
-	glutaminase	yneH
-		sad
-	predicted DNA-binding transcriptional regulator, LysR-type	yneJ
-	predicted protein	yneK
-	arabinose efflux transporter	ydeA
-	predicted transporter	marC
-	MarR transcriptional repressor	marR
-	MarA DNA-binding transcriptional dual regulator	marA
-	multiple antibiotic resistance protein	marB
-	O-acetylserine/cysteine export protein	eamA
-	predicted transport protein YdeE	ydeE
-	small membrane protein	yneM
small RNA	MgrR	mgrR
-	diguanylate cyclase	dgcZ
-	stress response protein	ydeI
-	conserved protein	ydeJ
-	dipeptidyl carboxypeptidase II	dcp
-	3-hydroxy acid dehydrogenase monomer	ydfG
-	YdfH DNA-binding transcriptional repressor	ydfH
-	conserved protein	ydfZ
-	predicted mannonate dehydrogenase	ydfI
-	predicted transporter	ydfJ
-	"Qin prophage; cold shock gene, predicted DNA-binding transcriptional regulator"	ydfK
-	"Qin prophage; predicted site-specific recombinase"	pinQ
-	"Qin prophage; predicted tail fibre assembly protein"	tfaQ
-	"Qin prophage; predicted side tail fibre assembly protein"	ydfN
-	"Qin prophage; predicted packaging protein"	nohA
-	"Qin prophage; predicted protein"	ynfO
-	"Qin prophage; predicted protein"	ydfO
-	"Qin prophage; predicted protein"	gnsB
-	"Qin prophage; predicted protein"	ynfN
-	"Qin prophage; cold shock protein"	cspI
-	"Qin prophage; conserved protein"	ydfP
-	"Qin prophage; predicted lysozyme"	rrrQ
-	"Qin prophage; predicted protein"	ydfR
-	"Qin prophage; predicted S lysis protein"	essQ
-	"Qin prophage; cold shock protein; predicted DNA-binding transcriptional regulator"	cspB
-	"Qin prophage; cold shock protein"	cspF
-	"Qin prophage; predicted antitermination protein Q"	ydfT
-	"Qin prophage; predicted protein"	ydfU
-	"Qin prophage; predicted protein"	rem
-	"Qin prophage; small toxic polypeptide"	hokD
-	"Qin prophage; toxin of the RelE-RelB toxin-antitoxin system and cofactor to enhance the repressor activity of RelB"	relE
-	"RelB Qin prophage; antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor"	relB
-	"Qin prophage; predicted protein"	ydfV
-	"Qin prophage; predicted protein"	flxA
-	"Qin prophage; predicted protein"	ydfW
-	"Qin prophage; predicted protein"	ydfX
-	"Qin prophage; DNA-binding transcriptional regulator for DicB"	dicC
-	DicA DNA-binding transcriptional dual regulator	dicA
-	"Qin prophage; predicted protein"	ydfA
-	"Qin prophage; small protein"	ydfB
-	"Qin prophage; predicted protein"	ydfC
small RNA	DicF	dicF
-	"Qin prophage; cell division inhibition protein"	dicB
-	"Qin prophage; predicted protein"	ydfD
-	"Qin prophage; predicted protein"	ydfE
-	"Qin prophage; predicted transposase"	insD
-	"Qin prophage; predicted defective integrase"	intQ
-	predicted protein	ynfP
-	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	rspB
-	mannonate/altronate dehydratase	rspA
-	conserved inner membrane protein	ynfA
-	predicted protein	ynfB
-	SpeG	speG
-	YnfC lipoprotein	ynfC
-	predicted protein	ynfD
-	oxidoreductase subunit	ynfE
-	oxidoreductase subunit	ynfF
-	oxidoreductase, predicted Fe-S subunit	ynfG
-	oxidoreductase, predicted membrane anchor subunit	ynfH
-	DMS reductase maturation protein	dmsD
-	chloride ion transporter ClcB	clcB
-	predicted dethiobiotin synthetase	ynfK
-	Mlc DNA-binding transcriptional repressor	mlc
-	predicted DNA-binding transcriptional regulator	ynfL
-	predicted transport protein YnfM	ynfM
small RNA	YnfM3'	
-	acid shock protein	asr
-	small predicted membrane protein	ydgU
-	predicted peptidase	ydgD
-	spermidine efflux transporter - MdtI subunit	mdtI
-	spermidine efflux transporter - MdtJ subunit	mdtJ
-	quorum signal AI-2 exporter	tqsA
-	"pyridine nucleotide transhydrogenase, &beta; subunit"	pntB
-	"pyridine nucleotide transhydrogenase, &alpha; subunit"	pntA
-	predicted protein	ydgH
-	ArcD APC transporter	ydgI
-	dihydromonapterin reductase/dihydrofolate reductase	folM
-	hypothetical protein	ydgC
-	RstA transcriptional regulator	rstA
-	RstB sensory histidine kinase	rstB
-	"DNA-binding protein; inhibition of replication at Ter sites"	tus
-	fumarase C monomer	fumC
-	fumarase A monomer	fumA
-	mannose-6-phosphate isomerase	manA
-	conserved protein	ydgA
-	membrane-associated protein	uidC
-	glucuronide:H<sup>+</sup> symporter	uidB
-	"&beta;-D-glucuronidase"	uidA
-	UidR DNA-binding transcriptional repressor	uidR
-	HdhA	hdhA
-	MalI DNA-binding transcriptional repressor	malI
-	MalX PTS permease	malX
-	"bifunctional &beta;-cystathionase, PLP-dependent and regulator of maltose regulon"	malY
-	adenosine deaminase	add
-	predicted oxidoreductase	ydgJ
-	"&beta;-lactam resistance protein"	blr
-	H-NS- and StpA-binding protein	cnu
-	conserved inner membrane protein	ydgK
-	integral membrane protein of SoxR-reducing complex	rsxA
-	member of SoxR-reducing complex	rsxB
-	member of SoxR-reducing complex	rsxC
-	integral membrane protein of SoxR-reducing complex	rsxD
-	member of SoxR-reducing complex	rsxG
-	integral membrane protein of SoxR-reducing complex	rsxE
-	"endonuclease III; specific for apurinic and/or apyrimidinic sites"	nth
-	tripeptide / dipeptide:H<sup>+</sup> symporter	tppB
-	Gst	gstA
-	pyridoxal kinase 2	pdxY
-	tyrosyl-tRNA synthetase	tyrS
-	PdxH	pdxH
-	inhibitor of c-type lysozyme, predicted lipoprotein	mliC
-	anhydro-<i>N</i>-acetylmuramic acid kinase	anmK
-	outer membrane lipoprotein	slyB
-	SlyA DNA-binding transcriptional activator	slyA
-	predicted inner membrane protein	ydhI
-	conserved protein	ydhJ
-	conserved inner membrane protein	ydhK
-	superoxide dismutase (Cu-Zn)	sodC
-	predicted oxidoreductase	ydhF
-	conserved protein	ydhL
